kernel,power_watts,execution_time_sec,energy_joules,edp,ed2p,energy_normalized,edp_normalized,ed2p_normalized,performance_per_watt,performance_per_watt_normalized
Baseline,20.756666666666664,12.3069,255.45022099999997,3143.8003248248997,38690.43621758756,1.029856812227151,1.0269113126021556,1.0239742374182454,0.00391465701648385,0.9710087733822111
Strategy1,56.72663716814159,12.3691,701.6574477964601,8678.871137539194,107349.82498733605,2.828757397955436,2.834922714836138,2.8411014691124494,0.0014251968722636353,0.353512111262273
Strategy2,26.441486486486486,12.3876,327.546558,4057.5157418808003,50262.882004122606,1.320515804438688,1.3253732380827319,1.3302485394883936,0.0030530010942749703,0.7572798421939905
Strategy3,20.09726027397261,12.3422,248.04440575342474,3061.4136646899187,37784.579732335915,1.0,1.0,1.0,0.004031536195958707,1.0
Strategy4,20.827916666666667,12.3853,257.9599962916667,3194.91194207118,39569.942876134184,1.039975062159228,1.043606742506254,1.0472511049863646,0.0038765700665824698,0.9615615185269628
Strategy5,21.223055555555558,12.373,262.5928663888889,3249.0615358297223,40200.638382821155,1.0586526456473542,1.0612945167469912,1.0639429806444978,0.003808176565310964,0.9445968931466762
Strategy6,20.846388888888892,12.3828,258.1366643333334,3196.4546871068005,39581.05909950609,1.0406873057638766,1.04411067474299,1.0475453049867525,0.003873916952412053,0.9609034283991659
Strategy7,20.16864864864865,12.3469,249.020288,3074.6285939072,37962.131786112805,1.0039343046000617,1.0043166101235195,1.0046990612317157,0.004015737063158485,0.9960811134931493
Strategy8,20.74388888888889,12.3313,255.79911705555557,3154.3356521471724,38897.059227322425,1.0312633993037505,1.0303526401965888,1.0294426854253047,0.003909317637647731,0.9696843703317137
Strategy9,20.763611111111114,12.3428,256.2810992222223,3163.226351480045,39043.0702110479,1.033206527854474,1.0332567558459758,1.0333069862792459,0.0039019654708632896,0.9678607064906668
