technique,avg_energy,avg_edp,avg_power,avg_time,kernels_count
Linear Indexing,253.00931462500003,3136.581774337588,20.40875,12.3971,1
Optimized Shared Memory,253.00931462500003,3136.581774337588,20.40875,12.3971,1
Global Memory Atomics,254.09993832000006,3150.8900551556653,20.491600000000005,12.4002,1
Efficient Reduction,255.18653070833332,3159.234768822238,20.612638888888892,12.3801,1
Optimized Memory,255.18653070833332,3159.234768822238,20.612638888888892,12.3801,1
Per-block Local Histogram,255.18653070833332,3159.234768822238,20.612638888888892,12.3801,1
Direct Global Memory,258.0718513333333,3188.116422631467,20.890416666666667,12.3536,1
Optimized Tile Size,258.0718513333333,3188.116422631467,20.890416666666667,12.3536,1
Bank Conflict Avoidance,258.78085877464787,3212.4797027426007,20.84605633802817,12.4139,1
Padded Indexing,258.78085877464787,3212.4797027426007,20.84605633802817,12.4139,1
Coalesced Access,258.95708324537037,3204.4219151782477,20.926990740740738,12.3745,3
Improved Memory Layout,260.14099866666663,3248.6668054491993,20.83111111111111,12.4881,1
Input Tiling,260.14099866666663,3248.6668054491993,20.83111111111111,12.4881,1
Local Histogram,260.14099866666663,3248.6668054491993,20.83111111111111,12.4881,1
Memory Optimization,265.79008377777774,3288.5675485656884,21.481805555555553,12.3728,1
Shared Memory,288.9718233154748,3774.239981511584,22.19713170146611,13.029475,4
Input Tile Loading,290.25036992,4145.820183789312,20.320533333333334,14.2836,1
Global Atomics,341.0659807894737,4450.092490948736,26.140131578947372,13.0476,1
Final Reduction,705.2312476846847,8836.759102863407,56.282072072072076,12.5303,1
Private Histograms,705.2312476846847,8836.759102863407,56.282072072072076,12.5303,1
