kernel,avg_power_watts,max_power_watts,avg_clock_mhz,avg_memory_util_pct,avg_memory_bandwidth_pct,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy8,19.726101694915254,50.4,449.49152542372883,0.0,0.0,12.353,243.67653423728814,3010.1362274332205,1.0,1.0
Strategy5,20.86393442622951,49.89,489.8360655737705,0.0,0.0,12.3632,257.94499409836067,3189.025551036853,1.0585549195606097,1.0594289793177147
Strategy9,21.287868852459017,50.25,502.8688524590164,0.0,0.0,12.3509,262.9243394098361,3247.3522236169442,1.0789891617294785,1.0788057344454476
Baseline,20.453846153846154,50.23,464.7692307692308,0.0,0.0,12.3616,252.8422646153846,3125.534938269538,1.037614333307823,1.0383367070847553
Strategy3,21.276557377049183,51.23,503.60655737704917,0.0,0.0,12.3809,263.42292922950827,3261.4129444976193,1.081035275120055,1.0834768588791297
Strategy1,57.990631578947365,120.03,1061.0526315789473,21.71578947368421,21.726315789473684,12.3054,713.5979178315789,8781.10781808471,2.9284638345056613,2.9171795409314307
Strategy2,25.29301587301587,52.13,467.14285714285717,0.0,0.0,12.3876,313.31976342857143,3881.279901447772,1.285801952203842,1.289403405093525
Strategy4,21.465,49.41,489.25,0.0,0.0,12.3255,264.56685749999997,3260.9188021162495,1.0857297290775203,1.083312699404596
Strategy6,20.45444444444444,50.53,479.76190476190476,0.0,0.0,12.3343,252.29125411111107,3111.8360155826776,1.0353530958604085,1.0337857759468174
Strategy7,20.874333333333333,51.06,465.25,0.0,0.0,12.3521,257.84185276666665,3184.888349559143,1.0581316480625276,1.0580545559809882
