kernel,avg_power_watts,max_power_watts,avg_clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy2,26.05432432432432,50.98,475.7432432432432,12.3271,321.17426137837833,3959.1472374374075,1.3412798748572552,1.3370605810571623
Strategy4,20.851917808219177,50.31,484.93150684931504,12.3374,257.2584507671233,3173.900410494307,1.0743562736628678,1.071871509840552
Strategy1,54.99603448275861,117.93,1022.8448275862069,12.3929,681.5603557413791,8446.509332667336,2.8463152206940996,2.85250686548115
Strategy7,19.707323943661972,48.96,448.3098591549296,12.3038,242.47497233802818,2983.3635646526313,1.0126178827587127,1.0075244950579532
Strategy3,21.01958333333333,50.74,476.6666666666667,12.3379,259.3375172083333,3199.680353564695,1.0830388186592141,1.0805777648985537
Strategy5,21.29625,50.56,480.0,12.3841,263.734889625,3266.1192466049624,1.1014030147794596,1.103015128200736
Strategy8,19.363866666666667,50.98,446.6,12.366,239.4535752,2961.0829109232,1.0,1.0
Strategy9,21.011527777777776,50.58,488.75,12.3811,260.1458265694444,3220.8914933389483,1.0864144598891936,1.087741069815146
Baseline,20.100263157894737,50.89,441.3157894736842,12.3621,248.48146318421053,3071.752696029529,1.0377020388051008,1.0373747674197427
Strategy6,20.535833333333333,51.3,456.4583333333333,12.3973,254.5888865833333,3156.214803639558,1.0632077068412604,1.0658988277553905
