Strategy,Start_Time,End_Time,Execution_Time_ms,Avg_GPU_Util,Avg_Mem_Util,Avg_Power_Draw,Max_Power_Draw,Avg_Temp,Avg_SM_Clock,Avg_Mem_Clock,Execution_Time_us
baseline,1742456444.140388098,1742456445.241094961,1100.706863000,0,0,14.94, 14.94 W,40,300,405,
1,1742456451.254936556,1742456452.360330077,1105.393521000,0,0,14.81, 14.81 W,40,300,405,
2,1742456458.373950100,1742456459.464686293,1090.736193000,0,0,15.36, 15.36 W,40,300,405,
3,1742456465.477990910,1742456466.585667836,1107.676926000,0,0,15.08, 15.08 W,40,300,405,
4,1742456472.599666730,1742456473.697915914,1098.249184000,0,0,15.01, 15.01 W,40,300,405,
5,1742456479.710696346,1742456480.829352597,1118.656251000,0,0,14.96, 14.96 W,40,300,405,
6,1742456486.841994755,1742456487.954508418,1112.513663000,0,0,15.07, 15.07 W,40,300,405,
7,1742456493.967684066,1742456495.060863234,1093.179168000,0,0,14.87, 14.87 W,40,300,405,
8,1742456501.074465322,1742456502.183298696,1108.833374000,0,0,14.98, 14.98 W,40,300,405,
9,1742456508.197875414,1742456509.309291173,1111.415759000,0,0,14.52, 14.52 W,40,300,405,
